Hero Image,Details,Description,in en search,exists in en,translated,name,Excursion Link
n,n,n,y,y,n,Carlisle Bay Shipwreck Snorkel & Beach,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/carlisle-bay-shipwreck-snorkel-beach.html
y,n,n,y,y,n,Cartagena City Highlights,https://www.hollandamerica.com/de_DE/shore-excursions/1010057/cartagena-city-highlights.html
y (placeholder),n,n,y,y,n,Cartagena Sightseeing,https://www.hollandamerica.com/de_DE/shore-excursions/1010057/cartagena-sightseeing.html
y (placeholder),n,n,y,y,n,Cartagena by Land & Sea,https://www.hollandamerica.com/de_DE/shore-excursions/1010057/cartagena-by-land-sea.html
n,n,n,y,y,n,"Casa Bacardi, Old San Juan & Fortress",https://www.hollandamerica.com/de_DE/shore-excursions/1010059/casa-bacardi-old-san-juan-fortress.html
n,n,n,y,y,n,"Casa Bacardi, Old San Juan & Fortress (Wheelchair Accessible)",https://www.hollandamerica.com/de_DE/shore-excursions/1010059/casa-bacardi-old-san-juan-fortress-wheelchair-accessible.html
y,n,n,y,y,n,Cascades Discovery Hike & Swim,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/cascades-discovery-hike-swim.html
n,n,n,y,y,n,Catamaran Cruise with Lobster Lunch,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/catamaran-cruise-with-lobster-lunch.html
n,n,n,y,y,n,Catamaran Sail & Snorkel,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/catamaran-sail-snorkel.html
n,n,n,y,y,n,Catamaran Sail & Snorkel (d),https://www.hollandamerica.com/de_DE/shore-excursions/1010059/catamaran-sail-snorkel.html#
y (placeholder),n,n,y,y,n,Catamaran Snorkel & Beach Getaway,https://www.hollandamerica.com/de_DE/shore-excursions/1010060/catamaran-snorkel-beach-getaway.html
n,n,n,y,y,n,Caves & City Highlights,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/caves-city-highlights.html
n,n,n,y,y,n,"Cayman Highlights, Hell & Beach Club",https://www.hollandamerica.com/de_DE/shore-excursions/1010059/cayman-highlights-hell-beach-club.html
n,n,n,y,y,n,Cayman Island Highlights & Turtle Centre,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/cayman-island-highlights-turtle-centre.html
n,n,n,y,y,n,Cayman Islands Heritage Discovery,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/cayman-islands-heritage-discovery.html
n,n,n,y,y,n,Cayman Islands Shipwrecks & National Museum,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/cayman-islands-shipwrecks-national-museum.html
n,n,n,y,y,n,Cayman Sightseeing Adventure,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/cayman-sightseeing-adventure.html
n,n,n,y,y,y,Cenote Las Ondas und Juanillo Beach,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/cenote-las-ondas-juanillo-beach.html
n,n,n,y,y,n,Certified Scuba,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/certified-scuba.html
n,n,n,y,y,n,Chacchoben Mayan Ruins,https://www.hollandamerica.com/de_DE/shore-excursions/1010060/chacchoben-mayan-ruins.html
y,n,n,y,y,y,Chacchoben-Maya-Ruinen und Blaue Lagune,https://www.hollandamerica.com/de_DE/shore-excursions/1010066/chacchoben-mayan-ruins-blue-lagoon.html
n,n,n,y,y,n,"Champagne Catamaran Sail, Snorkel & Beach",https://www.hollandamerica.com/de_DE/shore-excursions/1010059/champagne-catamaran-sail-snorkel-beach.html
y (placeholder),n,n,n,y,y,Charlottetown – Auf eigene Faust (GPS),https://www.hollandamerica.com/de_DE/shore-excursions/1010056/charlottetown-on-your-own-gps.html
y (placeholder),n,n,n,y,y,Chefkoch für Meeresfrüchte (Ausflug in einer Kleingruppe),https://www.hollandamerica.com/de_DE/shore-excursions/1010056/the-seafood-chef-a-small-group-tour.html
n,n,n,y,y,n,Chichen Itza Mayan Ruins by Motor Coach,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/chichen-itza-mayan-ruins-by-motor-coach.html
y,y,y,n,y,n,Chinese Junk Tour,https://www.hollandamerica.com/de_DE/shore-excursions/1010063/chinese-junk-tour.html
n,n,n,y,y,y,Chukka-Zipline-Abenteuer in den Baumkronen,https://www.hollandamerica.com/de_DE/shore-excursions/1010060/chukka-zip-line-canopy-adventure.html
y (placeholder),n,n,y,y,y,Cienfuegos Baila (Tanzen in Cienfuegos),https://www.hollandamerica.com/de_DE/shore-excursions/1010061/cienfuegos-baila-cienfuegos-dancing.html
n,n,n,y,y,y,Cienfuegos und Graphic Arts Society Workshop,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/cienfuegos-graphic-arts-society-workshop.html
y (placeholder),n,n,y,y,y,Cienfuegos und Trazos Libres Gemeinschaftsprojekt,https://www.hollandamerica.com/de_DE/shore-excursions/1010061/cienfuegos-trazos-libres-community-project.html
n,n,n,y,y,y,Cienfuegos und botanischer Garten,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/cienfuegos-botanic-garden.html
n,n,n,y,y,n,Clear Kayak & Beach Snorkel Adventure,https://www.hollandamerica.com/de_DE/shore-excursions/1010060/clear-kayak-beach-snorkel-adventure.html
n,n,n,y,y,n,Clear Kayaking & Walking Eco Safari,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/clear-kayaking-walking-eco-safari.html
n,n,n,y,y,n,Coast-to-Coast Grand Turk Safari,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/coast-to-coast-grand-turk-safari.html
n,n,n,y,y,n,Coastal Highlights & Banana Plantation,https://www.hollandamerica.com/de_DE/shore-excursions/1010057/coastal-highlights-banana-plantation.html
y (placeholder),n,n,y,y,n,Coba Mayan Ruins,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/coba-mayan-ruins.html
n,n,n,y,y,y,Coconut Cove Strandausflug,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/coconut-cove-beach-break.html
n,n,n,y,y,y,Coconut Cove Strandausflug – All-Inclusive,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/coconut-cove-all-inclusive-beach-break.html
n,n,n,y,y,n,Colonial Panama & Miraflores,https://www.hollandamerica.com/de_DE/shore-excursions/1010057/colonial-panama-miraflores.html
n,n,n,y,y,n,Colors of Aruba,https://www.hollandamerica.com/de_DE/shore-excursions/1010060/colors-of-aruba.html
n,n,n,y,y,n,Coral World Ocean Park,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/coral-world-ocean-park.html
n,n,n,y,y,n,Costa Maya Beach Snorkel,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/costa-maya-beach-snorkel.html
