Hero Image,Details,Description,in en,translated,name,Excursion Link
y,y,y,n,n,Fly High Zip-Line & Beach Resort,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/fly-high-zip-line-beach-resort.html
y,y,y,y,y,Fort Sumter En De Burgeroorlog In Charleston,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/fort-sumter-the-civil-war-in-charleston.html
n,y,y,y,y,Fotografietour Van De Kust In De Baai Van Fundy,https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/bay-of-fundy-coastal-photography-tour.html
y,y,y,n,n,Fury Catamaran Mayan Sunset Cruise,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/fury-catamaran-mayan-sunset-cruise.html
y,y,y,n,n,Fury Catamaran Snorkel & Beach Party,https://www.hollandamerica.com/nl_NL/shore-excursions/1010060/fury-catamaran-snorkel-beach-party.html
n,y,y,y,y,Ga Terug In De Tijd: Een Victoriaanse Wandeling Door Bar Harbor,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/step-back-in-time-a-walk-through-victorian-bar-harbor.html
n,n,n,y,n,"Over ons

",https://www.hollandamerica.com/nl_NL/shore-excursions/1010067/peaks-island-lobster-bake.html
n,y,y,n,y,Gemakkelijk Reykjavik,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/easy-reykjavik.html
y,y,y,y,y,Geschiedenis En Legendes (Rolstoeltoegankelijk),https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/history-legends-wheelchair-accessible.html
y,y,y,y,y,Geschiedenis Komt Tot Leven Op Het Fort Van Louisbourg,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/relive-history-at-the-fortress-of-louisbourg.html
y,y,y,n,n,Glass-Bottom Boat & Snorkel Experience,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/glass-bottom-boat-snorkel-experience.html
n,n,n,n,n,"Over ons

",https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/glacier-safari-by-4-wheel-drive-ice-cave.html
n,n,n,n,n,"Over ons

",https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/glacier-walk-waterfalls.html
